position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1,-0.3,1,1,0,0,0
1,-0.2999,1,1,0,0,0
1,-0.2998,1,1,0,0,0
1,-0.2997,1,1,0,0,0
1,-0.2996,1,1,0,0,0
1,-0.2995,1,1,0,0,0
1,-0.2994,1,1,0,0,0
1,-0.2993,1,1,0,0,0
1,-0.2992,1,1,0,0,0
1,-0.2991,1,1,0,0,0
1,-0.299,1,1,0,0,0
1,-0.2989,1,1,0,0,0
1,-0.2988,1,1,0,0,0
1,-0.2987,1,1,0,0,0
1,-0.2986,1,1,0,0,0
1,-0.2985,1,1,0,0,0
1,-0.2984,1,1,0,0,0
1,-0.2983,1,1,0,0,0
1,-0.2982,1,1,0,0,0
1,-0.2981,1,1,0,0,0
1,-0.298,1,1,0,0,0
1,-0.2979,1,1,0,0,0
1,-0.2978,1,1,0,0,0
1,-0.2977,1,1,0,0,0
1,-0.2976,1,1,0,0,0
1,-0.2975,1,1,0,0,0
1,-0.2974,1,1,0,0,0
1,-0.2973,1,1,0,0,0
1,-0.2972,1,1,0,0,0
1,-0.2971,1,1,0,0,0
1,-0.297,1,1,0,0,0
1,-0.2969,1,1,0,0,0
1,-0.2968,1,1,0,0,0
1,-0.2967,1,1,0,0,0
1,-0.2966,1,1,0,0,0
1,-0.2965,1,1,0,0,0
1,-0.2964,1,1,0,0,0
1,-0.2963,1,1,0,0,0
1,-0.2962,1,1,0,0,0
1,-0.2961,1,1,0,0,0
1,-0.296,1,1,0,0,0
1,-0.2959,1,1,0,0,0
1,-0.2958,1,1,0,0,0
1,-0.2957,1,1,0,0,0
1,-0.2956,1,1,0,0,0
1,-0.2955,1,1,0,0,0
1,-0.2954,1,1,0,0,0
1,-0.2953,1,1,0,0,0
1,-0.2952,1,1,0,0,0
1,-0.2951,1,1,0,0,0
1,-0.295,1,1,0,0,0
1,-0.2949,1,1,0,0,0
1,-0.2948,1,1,0,0,0
1,-0.2947,1,1,0,0,0
1,-0.2946,1,1,0,0,0
1,-0.2945,1,1,0,0,0
1,-0.2944,1,1,0,0,0
1,-0.2943,1,1,0,0,0
1,-0.2942,1,1,0,0,0
1,-0.2941,1,1,0,0,0
1,-0.294,1,1,0,0,0
1,-0.2939,1,1,0,0,0
1,-0.2938,1,1,0,0,0
1,-0.2937,1,1,0,0,0
1,-0.2936,1,1,0,0,0
1,-0.2935,1,1,0,0,0
1,-0.2934,1,1,0,0,0
1,-0.2933,1,1,0,0,0
1,-0.2932,1,1,0,0,0
1,-0.2931,1,1,0,0,0
1,-0.293,1,1,0,0,0
1,-0.2929,1,1,0,0,0
1,-0.2928,1,1,0,0,0
1,-0.2927,1,1,0,0,0
1,-0.2926,1,1,0,0,0
1,-0.2925,1,1,0,0,0
1,-0.2924,1,1,0,0,0
1,-0.2923,1,1,0,0,0
1,-0.2922,1,1,0,0,0
1,-0.2921,1,1,0,0,0
1,-0.292,1,1,0,0,0
1,-0.2919,1,1,0,0,0
1,-0.2918,1,1,0,0,0
1,-0.2917,1,1,0,0,0
1,-0.2916,1,1,0,0,0
1,-0.2915,1,1,0,0,0
