__time,/joint_states/group_1/joint_1/effort,/joint_states/group_1/joint_1/position,/joint_states/group_1/joint_1/velocity,/joint_states/group_1/joint_2/effort,/joint_states/group_1/joint_2/position,/joint_states/group_1/joint_2/velocity,/joint_states/group_1/joint_3/effort,/joint_states/group_1/joint_3/position,/joint_states/group_1/joint_3/velocity,/joint_states/group_1/joint_4/effort,/joint_states/group_1/joint_4/position,/joint_states/group_1/joint_4/velocity,/joint_states/group_1/joint_5/effort,/joint_states/group_1/joint_5/position,/joint_states/group_1/joint_5/velocity,/joint_states/group_1/joint_6/effort,/joint_states/group_1/joint_6/position,/joint_states/group_1/joint_6/velocity,/joint_states/header/stamp,/world_to_torch/header/header/stamp,/world_to_torch/transform/rotation/pitch,/world_to_torch/transform/rotation/roll,/world_to_torch/transform/rotation/w,/world_to_torch/transform/rotation/x,/world_to_torch/transform/rotation/y,/world_to_torch/transform/rotation/yaw,/world_to_torch/transform/rotation/z,/world_to_torch/transform/translation/x,/world_to_torch/transform/translation/y,/world_to_torch/transform/translation/z
1720620441.811516,0.042328000,0.000000000,0.000000000,-1.226764000,0.000000000,0.000000000,0.986414000,0.000000000,0.000000000,0.058848000,0.000000000,0.000000000,0.236544000,0.000000000,0.000000000,-0.054336000,0.000000000,0.000000000,1720620441.800062656,,,,,,,,,,,
1720620441.811531,0.042328000,0.000000000,0.000000000,-1.225686000,0.000000000,0.000000000,0.986414000,0.000000000,0.000000000,0.058848000,0.000000000,0.000000000,0.236800000,0.000000000,0.000000000,-0.053824000,0.000000000,0.000000000,1720620441.804062605,,,,,,,,,,,
1720620441.813257,0.042328000,0.000000000,0.000000000,-1.225686000,0.000000000,0.000000000,0.986414000,0.000000000,0.000000000,0.058848000,0.000000000,0.000000000,0.237120000,0.000000000,0.000000000,-0.054144000,0.000000000,0.000000000,1720620441.811062574,,,,,,,,,,,
1720620441.816266,0.042328000,0.000000000,0.000000000,-1.225686000,0.000000000,0.000000000,0.986414000,0.000000000,0.000000000,0.058848000,0.000000000,0.000000000,0.237120000,0.000000000,0.000000000,-0.054144000,0.000000000,0.000000000,1720620441.812062740,,,,,,,,,,,
1720620441.819200,0.042328000,0.000000000,0.000000000,-1.225686000,0.000000000,0.000000000,0.986414000,0.000000000,0.000000000,0.058848000,0.000000000,0.000000000,0.236928000,0.000000000,0.000000000,-0.053952000,0.000000000,0.000000000,1720620441.817062616,,,,,,,,,,,
1720620441.826619,0.042328000,0.000000000,0.000000000,-1.225686000,0.000000000,0.000000000,0.986414000,0.000000000,0.000000000,0.058848000,0.000000000,0.000000000,0.236800000,0.000000000,0.000000000,-0.053824000,0.000000000,0.000000000,1720620441.824062586,,,,,,,,,,,
1720620441.828313,0.042328000,0.000000000,0.000000000,-1.225686000,0.000000000,0.000000000,0.986414000,0.000000000,0.000000000,0.058848000,0.000000000,0.000000000,0.236800000,0.000000000,0.000000000,-0.053824000,0.000000000,0.000000000,1720620441.825062752,,,,,,,,,,,
1720620441.837895,0.042328000,0.000000000,0.000000000,-1.225686000,0.000000000,0.000000000,0.986414000,0.000000000,0.000000000,0.058848000,0.000000000,0.000000000,0.236928000,0.000000000,0.000000000,-0.053664000,0.000000000,0.000000000,1720620441.835062742,,,,,,,,,,,
1720620441.838445,0.042328000,0.000000000,0.000000000,-1.225686000,0.000000000,0.000000000,0.986414000,0.000000000,0.000000000,0.058848000,0.000000000,0.000000000,0.236928000,0.000000000,0.000000000,-0.053664000,0.000000000,0.000000000,1720620441.836062670,,,,,,,,,,,
1720620441.840436,0.042328000,0.000000000,0.000000000,-1.225686000,0.000000000,0.000000000,0.988416000,0.000000000,0.000000000,0.058784000,0.000000000,0.000000000,0.237312000,0.000000000,0.000000000,-0.054336000,0.000000000,0.000000000,1720620441.838062763,,,,,,,,,,,
1720620441.850083,0.042328000,0.000000000,0.000000000,-1.225686000,0.000000000,0.000000000,0.987558000,0.000000000,0.000000000,0.058784000,0.000000000,0.000000000,0.236864000,0.000000000,0.000000000,-0.054016000,0.000000000,0.000000000,1720620441.847062588,,,,,,,,,,,
1720620441.850479,0.042328000,0.000000000,0.000000000,-1.225686000,0.000000000,0.000000000,0.987558000,0.000000000,0.000000000,0.058784000,0.000000000,0.000000000,0.236864000,0.000000000,0.000000000,-0.054016000,0.000000000,0.000000000,1720620441.848062754,,,,,,,,,,,
1720620441.852164,0.042328000,0.000000000,0.000000000,-1.225686000,0.000000000,0.000000000,0.987558000,0.000000000,0.000000000,0.058784000,0.000000000,0.000000000,0.236864000,0.000000000,0.000000000,-0.054016000,0.000000000,0.000000000,1720620441.849062681,,,,,,,,,,,
1720620441.861716,0.042328000,0.000000000,0.000000000,-1.224608000,0.000000000,0.000000000,0.986986000,0.000000000,0.000000000,0.058784000,0.000000000,0.000000000,0.236672000,0.000000000,0.000000000,-0.054016000,0.000000000,0.000000000,1720620441.859062672,,,,,,,,,,,
1720620441.862994,0.042328000,0.000000000,0.000000000,-1.224608000,0.000000000,0.000000000,0.986986000,0.000000000,0.000000000,0.058784000,0.000000000,0.000000000,0.236672000,0.000000000,0.000000000,-0.054016000,0.000000000,0.000000000,1720620441.860062599,,,,,,,,,,,
1720620441.864244,0.042328000,0.000000000,0.000000000,-1.227303000,0.000000000,0.000000000,0.985842000,0.000000000,0.000000000,0.058784000,0.000000000,0.000000000,0.236672000,0.000000000,0.000000000,-0.053888000,0.000000000,0.000000000,1720620441.862062693,,,,,,,,,,,
1720620441.873742,0.042328000,0.000000000,0.000000000,-1.226764000,0.000000000,0.000000000,0.985556000,0.000000000,0.000000000,0.058848000,0.000000000,0.000000000,0.236384000,0.000000000,0.000000000,-0.054016000,0.000000000,0.000000000,1720620441.871062756,,,,,,,,,,,
1720620441.874406,0.042328000,0.000000000,0.000000000,-1.226764000,0.000000000,0.000000000,0.985556000,0.000000000,0.000000000,0.058848000,0.000000000,0.000000000,0.236384000,0.000000000,0.000000000,-0.054016000,0.000000000,0.000000000,1720620441.872062683,,,,,,,,,,,
1720620441.876095,0.042328000,0.000000000,0.000000000,-1.226764000,0.000000000,0.000000000,0.985556000,0.000000000,0.000000000,0.058848000,0.000000000,0.000000000,0.237184000,0.000000000,0.000000000,-0.053824000,0.000000000,0.000000000,1720620441.874062777,,,,,,,,,,,
1720620441.879275,,,,,,,,,,,,,,,,,,,,1720620441.874062777,-1.186824000,3.141592654,0.000000015,0.829037542,-0.000000022,-0.000000054,0.559192949,1.395152983,0.001110973,1.481517837
